,IMDb-rating,appropriate_for,director,downloads,id,industry,language,posted_date,release_date,run_time,storyline,title,views,writer
0,4.8,R,John Swab,304,372092,Hollywood / English,English,"20 Feb, 2023",Jan 28 2023,105,"Doc
 facilitates a fragile truce between the Governor and Cartel, trading 
prosecutorial leniency for finance. With no more truce, Doc is left to 
fend for himself and protect the one untainted thing in his life: his 
daughter, Little Dixie.",Little Dixie,"2,794",John Swab
1,6.4,TV-PG,Paul Ziller,73,372091,Hollywood / English,English,"20 Feb, 2023",Feb 05 2023,84,"Caterer
 Goldy Berry reunites with detective Tom Schultz when a realtor is 
murdered. As they uncover personal and professional rivalries, they 
realize the culprit is closer than expected.",Grilling Season: A Curious Caterer Mystery,"1,002",John Christian Plummer
2,5.2,R,Ben Wheatley,"1,427",343381,Hollywood / English,"English,Hindi","20 Apr, 2021",Jun 18 2021,1h 47min,"As the world searches for a cure to a disastrous virus, a scientist and 
park scout venture deep in the forest for a routine equipment run.",In the Earth,"14,419",Ben Wheatley
3,8.1,,Venky Atluri,"1,549",372090,Tollywood,Hindi,"20 Feb, 2023",Feb 17 2023,139,The life of a young man and his struggles against the privatization of education.,Vaathi,"4,878",Venky Atluri
4,4.6,,Shaji Kailas,657,372089,Tollywood,Hindi,"20 Feb, 2023",Jan 26 2023,122,A man named Kalidas gets stranded due to the pandemic lock-down when he travels from Coimbatore to Kerala.,Alone,"2,438",Rajesh Jayaraman
5,5.4,,Srinivas Gavireddy,746,372088,Tollywood,Hindi,"20 Feb, 2023",Nov 26 2021,131,"Bagaram,
 after inheriting his grandfather's wealth at a young age, lives a 
lavish life and becomes a laughing stock for the village. On a quest to 
prove himself worthy of respect, things go haywire.",Anubhavinchu Raja,"2,940","Srinivas Gavireddy, Mayukh Adithya"
6,,TV-PG,,"5,332",372059,Wrestling,English,"19 Feb, 2023",Feb 18 2023,200,"Undisputed
 WWE Universal title: Reigns vs Sami Zayn. Lashley vs Lesnar. Edge, 
Phoenix vs Balor, Ripley. US title: Theory vs Rollins vs Gargano vs Reed
 vs Priest vs Montez. Asuka vs Morgan vs Cross vs Natalya vs Rodriguez 
vs Carmella.",WWE Elimination Chamber,"11,978",
7,6.5,R,Benjamin Caron,"1,781",371751,Hollywood / English,English,"13 Feb, 2023",Feb 17 2023,116,"Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires.",Sharper,"18,225","Brian Gatewood, Alessandro Tanaka"
8,6.9,PG-13,Ravi Kapoor,458,372042,Hollywood / English,English,"18 Feb, 2023",Dec 02 2022,80,"An
 unmotivated South Asian American rapper, along with three other first 
time thieves, plans a heist on a grocery store owned by his 
ex-girlfriend's father, in order to steal her wedding diamonds and 
disrupt her pending engagement.",Four Samosas,"6,912",Ravi Kapoor
9,4.2,,Danny LeGare,"1,965",372041,Hollywood / English,English,"18 Feb, 2023",Feb 07 2023,80,"A
 family moves back to a farm in the mother's hometown. One of the 
children is a clairvoyant and along with his sister they start to 
unravel secrets that have happened on the farm.",Blood Harvest,"9,710","Michael Hultquist, Danny LeGare, Seth Metoyer"
10,6.2,,Andrew Lawrence,742,372040,Hollywood / English,English,"18 Feb, 2023",Feb 03 2023,,Follows a couple who fall in love through their dogs being best pals.,Frankie Meets Jack,"4,618","Jen Bashian, Samantha Cope, Joseph Lawrence"
11,9,,Rohit Dhawan,"12,954",372039,Bollywood / Indian,Hindi,"18 Feb, 2023",Feb 17 2023,142,"Bantu
 is hated by his father Valmiki since he was a toddler. Samara, his boss
 show him affection and love until he discovers that the Jindals are his
 parents. Bantu decides to seek Jindals love and protect them from 
threats they facing.",Shehzada,"35,831","Hussain Dalal, Rohit Dhawan, Trivikram Srinivas"
12,,,,"2,253",372038,Wrestling,English,"18 Feb, 2023",Feb 17 2023,,,WWE Smackdown 2023-02-17,"5,468",
13,6.6,PG-13,Peyton Reed,"14,867",371992,Hollywood / English,"English,Hindi","17 Feb, 2023",Feb 17 2023,125,"Scott
 Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore
 the Quantum Realm, where they interact with strange creatures and 
embark on an adventure that goes beyond the limits of what they thought 
was possible.",Ant-Man and the Wasp: Quantumania,"39,399","Jack Kirby, Jeff Loveness"
14,7.1,R,Elegance Bratton,463,371991,Hollywood / English,English,"17 Feb, 2023",Dec 02 2022,95,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,"5,763",Elegance Bratton
15,6.5,Unrated,Rohit Shetty,"41,512",369560,Bollywood / Indian,Hindi,"24 Dec, 2022",Dec 23 2022,139,"Two
 sets of identical twins are accidentally separated at birth. Several 
years later, when they are coincidentally in the same town, there is a 
lot of confusion and misunderstanding when people mistake them for each 
other.",Cirkus,"126,897","Sanchit Bedre, Vidhi Ghodgaonkar, Yunus Sajawal"
16,,,,"2,785",371990,Punjabi,Punjabi,"17 Feb, 2023",Feb 16 2023,,,Sab Fadey Jaange.2023,"12,968",
17,6.4,Not Rated,Anandan .M.S.,"12,642",371989,Tollywood,Hindi,"17 Feb, 2023",Feb 19 2021,131,A soldier and a police officer join forces to bring down a cyber hacker.,Chakra,"37,664",Anandan .M.S.
18,,,,171,371988,Wrestling,English,"17 Feb, 2023",Feb 16 2023,,,TNA.Impact 2023-02-16,667,
19,4.7,,Sean Lahiff,"1,453",371943,Hollywood / English,English,"16 Feb, 2023",Dec 01 2022,93,"An
 aspiring documentarian and two conservationists who venture into the 
Outback to record the animals displaced by bushfires where they discover
 a terrifying new species.",Carnifex,"11,626",Shanti Gudgeon
20,6.4,,Lisbon Okafor,419,371940,Hollywood / English,English,"16 Feb, 2023",Oct 28 2022,90,"Three
 sisters from a fishing village in the West Indies take refuge in 
Berkeley, California, following a traumatic event that threatens to 
reveal a centuries-old family secret.",Ten-Cent Daisy,"5,655","Cheryl Latouche, Obieze Okafor"
21,5.2,PG-13,Michael Jacobs,271,371115,Hollywood / English,English,"30 Jan, 2023",Jan 26 2023,95,"Michelle
 and Allen are in a relationship. They decide to invite their parents to
 finally meet about marriage. Turns out, the parents already know one 
another well, which leads to some differing opinions about marriage.",Maybe I Do,"3,584",Michael Jacobs
22,5,,Lindsay Hartley,465,371936,Hollywood / English,English,"16 Feb, 2023",Jan 29 2023,,"When
 a woman is attacked in her short term rental, the company's Clean-Up 
Team steps in to help her pick up the pieces. But she soon finds that 
they might not be who they say they are.",Vacation Home Nightmare,"5,723",John F. Hayes
23,7.6,,Aniruddha Roy Chowdhury,"9,075",371933,Bollywood / Indian,Hindi,"16 Feb, 2023",Feb 16 2023,,"An emotional thriller that represents a higher quest, a search for lost values of empathy and integrity.",Lost,"33,595","Aniruddha Roy Chowdhury, Shyamal Sengupta, Ritesh Shah"
24,,,Sumeet Nagdev,"1,299",371932,Bollywood / Indian,Hindi,"16 Feb, 2023",Jan 21 2023,142,"21-year
 old Vicky is diagnosed with mental health issues and starts having 
illusory images which he needs to break out of while his parents 
constantly fail to understand his situation.",Ho Ja Mukt,"10,891",Sumeet Nagdev
25,5.1,TV-MA,Pitipol Ybarra,566,371880,Hollywood / English,English,"15 Feb, 2023",Feb 14 2023,97,"An
 estranged brother and sister reunite at their father's funeral and make
 a spur of the moment decision to fulfill their childhood dream of 
driving across Mexico on their old motorbikes.",A Todas Partes (All The Places),"7,271",Adriana Pelusi
26,5.3,TV-MA,Walter Taylaur,397,371879,Hollywood / English,English,"15 Feb, 2023",Feb 14 2023,96,"Two
 best friends, Uche and Toyin, fall in love with Sunday, a charming, yet
 flawed eligible bachelor. A love triangle ensues with the women unaware
 that they are dating the same man",A Sunday Affair,"4,339","Mo Abudu, Darrel Bristow-Bovey, Nnegest Likké"
27,5.7,,Eiichirô Hasumi,"1,059",371878,Hollywood / English,English,"15 Feb, 2023",Oct 14 2022,102,"A
 high school student and her friends are trapped in a time loop by a 
ghost and the only way to escape is to find the corpse of the ghost's 
previous victim.",Karada Sagashi (Remember Member),"9,497","Katsutoshi Murase, Welzard"
28,6.6,TV-14,Simone Stock,760,371877,Hollywood / English,English,"15 Feb, 2023",Feb 11 2023,88,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,"7,430",Haley Harris
29,6.1,R,Neil Jordan,283,371876,Hollywood / English,English,"15 Feb, 2023",Feb 15 2023,110,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",Marlowe,"3,044","William Monahan, John Banville, Raymond Chandler"
30,8.3,,Vishnu Sasi Shankar,"3,983",371875,Tollywood,Hindi,"15 Feb, 2023",Dec 30 2022,121,An intense desire of Kallu an 8 year old girl from Panchalimedu village to visit Sabarimala.,Malikappuram,"16,538",Abhilash Pillai
31,5,TV-MA,Filip Zylber,"1,747",371819,Hollywood / English,"English,Hindi","14 Feb, 2023",Feb 13 2023,99,The relationship of a well-known journalist and a down-to-earth teacher goes through hard times when she takes a new job.,Squared Love All Over Again,"10,757","Natalia Matuszek, Wiktor Piatkowski"
32,5.5,R,Jonah Feingold,791,371818,Hollywood / English,English,"14 Feb, 2023",Feb 10 2023,,"At Midnight is a romantic comedy about two people who have made the ""safe"" choice not to fall in love.",At Midnight,"10,956","Giovanni Porta, Maria Hinojos, Jonah Feingold"
33,5.6,TV-G,Kristin Fairweather,191,371817,Hollywood / English,English,"14 Feb, 2023",Oct 09 2022,90,"A
 frustratingly micromanaged pop star who dreams of an ordinary life 
finds herself torn between her celebrity ex, the machinations of her 
controlling manager, and a developing romance with a down-to-earth 
record store owner.",Infamously in Love,"3,444",Charlie Mihelich
34,6.8,R,Brandon Cronenberg,"1,245",371120,Hollywood / English,English,"30 Jan, 2023",Jan 27 2023,117,"James
 and Em Foster are enjoying an all-inclusive beach vacation in the 
fictional island of La Tolqa, when a fatal accident exposes the resort's
 perverse subculture of hedonistic tourism, reckless violence and 
surreal horrors.",Infinity Pool,"14,171",Brandon Cronenberg
35,8.3,,Raaj Aashoo,"9,974",365731,Bollywood / Indian,Hindi,"05 Oct, 2022",Sep 30 2022,,an uncomplicated man with few uncomplicated dreams - Sanjay Mishra as Rikshaw Driver.,Woh 3 Din,"61,357",pi Jha
36,6.1,R,Neil Jordan,283,371876,Hollywood / English,English,"15 Feb, 2023",Feb 15 2023,110,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",Marlowe,"3,045","William Monahan, John Banville, Raymond Chandler"
37,4.7,,Sean Lahiff,"1,453",371943,Hollywood / English,English,"16 Feb, 2023",Dec 01 2022,93,"An
 aspiring documentarian and two conservationists who venture into the 
Outback to record the animals displaced by bushfires where they discover
 a terrifying new species.",Carnifex,"11,627",Shanti Gudgeon
38,8.1,,Venky Atluri,"1,550",372090,Tollywood,Hindi,"20 Feb, 2023",Feb 17 2023,139,The life of a young man and his struggles against the privatization of education.,Vaathi,"4,882",Venky Atluri
39,9,,Rohit Dhawan,"12,954",372039,Bollywood / Indian,Hindi,"18 Feb, 2023",Feb 17 2023,142,"Bantu
 is hated by his father Valmiki since he was a toddler. Samara, his boss
 show him affection and love until he discovers that the Jindals are his
 parents. Bantu decides to seek Jindals love and protect them from 
threats they facing.",Shehzada,"35,833","Hussain Dalal, Rohit Dhawan, Trivikram Srinivas"
40,6.6,TV-14,Simone Stock,760,371877,Hollywood / English,English,"15 Feb, 2023",Feb 11 2023,88,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,"7,431",Haley Harris
41,8.8,,Xavier Manrique,75,371744,Hollywood / English,English,"13 Feb, 2023",Feb 03 2023,101,"Follows
 a New York City family hiding out in the Hamptons whose bubble is 
popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring
 a lifetime of hurt that might heal them all.",Who Invited Charlie?,"1,676",Nicholas Schutt
42,5.7,PG-13,Aline Brosh McKenna,"2,712",371760,Hollywood / English,"English,Hindi","13 Feb, 2023",Feb 10 2023,109,"Two
 long-distance best friends change each other's lives when she decides 
to pursue a lifelong dream and he volunteers to keep an eye on her 
teenage son.",Your Place or Mine,"14,638",Aline Brosh McKenna
43,5,,Bess Wohl,622,371674,Hollywood / English,English,"10 Feb, 2023",Feb 03 2023,93,"The
 tightly scripted world of a vlogger and influencer unravels after she 
becomes a mother, in noted playwright Bess Wohl's feature debut.",Baby Ruby,"9,097",Bess Wohl
44,,,,"2,609",371816,Wrestling,English,"14 Feb, 2023",Feb 13 2023,,,WWE Raw 2023-02-13,"6,605",
45,5.7,PG-13,Aline Brosh McKenna,"2,712",371760,Hollywood / English,"English,Hindi","13 Feb, 2023",Feb 10 2023,109,"Two
 long-distance best friends change each other's lives when she decides 
to pursue a lifelong dream and he volunteers to keep an eye on her 
teenage son.",Your Place or Mine,"14,639",Aline Brosh McKenna
46,5.7,R,Dave Franco,"1,901",371757,Hollywood / English,"English,Hindi","13 Feb, 2023",Feb 10 2023,106,"On
 a trip to her hometown, workaholic Ally reminisces with her ex Sean and
 starts to question everything about the person she's become. Things 
only get more confusing when she meets Cassidy, who reminds her of the 
person she used to be.",Somebody I Used to Know,"11,963","Dave Franco, Alison Brie"
47,6.1,PG-13,Florian Zeller,483,370801,Hollywood / English,English,"23 Jan, 2023",Feb 17 2023,123,"Peter
 has his busy life with new partner Beth and their baby thrown into 
disarray when his ex-wife Kate turns up with their teenage son, 
Nicholas.",The Son,"7,475","Florian Zeller, Christopher Hampton"
48,5.9,R,Steven Soderbergh,"1,568",371753,Hollywood / English,English,"13 Feb, 2023",Feb 10 2023,112,"Mike
 takes to the stage again, following a business deal that went bust, 
leaving him broke and taking bartender gigs in Florida. Mike heads to 
London with a wealthy socialite who lures him with an offer he can't 
refuse.",Magic Mike's Last Dance,"10,816",Reid Carolin
49,8.2,,Matthew Newton,389,371746,Hollywood / English,English,"13 Feb, 2023",Feb 10 2023,93,"When
 a gangster's daughter reluctantly teams with a former Marine to find 
her kidnapped cousin, the combat veteran must overcome his own demons in
 order to rescue the child.",Among the Beasts,"5,146",Matthew Newton
50,5.8,R,Christopher Smith,256,371749,Hollywood / English,English,"13 Feb, 2023",Feb 10 2023,90,"After
 the alleged suicide of her priest brother, Grace travels to the remote 
Scottish convent where he fell to his death. Distrusting the Church's 
account, she uncovers murder, sacrilege and a disturbing truth about 
herself.",Consecration,"3,473","Christopher Smith, Laurie Cook"
51,8.8,,Xavier Manrique,75,371744,Hollywood / English,English,"13 Feb, 2023",Feb 03 2023,101,"Follows
 a New York City family hiding out in the Hamptons whose bubble is 
popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring
 a lifetime of hurt that might heal them all.",Who Invited Charlie?,"1,677",Nicholas Schutt
52,5.3,,Erik Bloomquist,331,371742,Hollywood / English,English,"13 Feb, 2023",Feb 10 2023,101,"In 1987, a group of counselors accidentally unleash a decades' old evil on the last night of summer camp.",She Came from the Woods,"4,632","Erik Bloomquist, Carson Bloomquist"
53,4,,Sri Ganesh,"6,972",371741,Tollywood,Hindi,"13 Feb, 2023",Aug 05 2022,147,Two disparate men meeting by accident and the friendship they develop.,Kuruthi Aattam,"22,695",Sri Ganesh
54,6.9,,Harsha,"16,652",369821,Tollywood,English,"31 Dec, 2022",Dec 23 2022,156,"Vedha
 and his daughter Kanaka are on a killing spree. They are being chased 
by a cop Rama, but they always manage to escape in the nick of time. Can
 Rama stop the killings?",Vedha,"62,499",Harsha
55,,,,"1,781",371740,Wrestling,English,"13 Feb, 2023",Feb 10 2023,,,WWE Smackdown 2023-02-10,"4,736",
56,6.8,TV-14,Lucky Kuswandi,"2,525",371675,Hollywood / English,English,"10 Feb, 2023",Feb 09 2023,118,"A
 Secret fantasy blog might jeopardize the promising future of Laras, a 
talented student, when the blog is revealed to her entire school.",Dear David,"22,435","Winnie Benjamin, Daud Sumolang, Muhammad Zaidy"
57,5,,Bess Wohl,622,371674,Hollywood / English,English,"10 Feb, 2023",Feb 03 2023,93,"The
 tightly scripted world of a vlogger and influencer unravels after she 
becomes a mother, in noted playwright Bess Wohl's feature debut.",Baby Ruby,"9,098",Bess Wohl
58,5.9,,Gabriel Bier Gislason,"2,143",371673,Hollywood / English,"Danish,English","10 Feb, 2023",Jun 12 2022,105,"Maja,
 a Danish has-been actress, falls in love with Leah, a Jewish academic 
from London. Leah suffers a mysterious seizure, and Maja returns with 
her to London. There, she meets Leah's mother, Chana, a woman who could 
hold dark secrets.",Attachment,"21,368",Gabriel Bier Gislason
59,4,R,Phil Blattenberger,639,371672,Hollywood / English,English,"10 Feb, 2023",Jan 27 2023,102,"A
 decade after the fall of Nazi Germany, an American aviator travels 
across South America in search of war criminals and encounters more than
 he bargained for.",Condor's Nest,"6,085",Phil Blattenberger
60,5.5,,Nadira Amrani,378,371671,Hollywood / English,English,"10 Feb, 2023",Feb 07 2023,,"Bold
 and authentic drama set at an elite school where the lines of sexual 
consent are dangerously blurred. When a serious accusation is made 
against 'one of their own', how will the school react?",Consent,"4,266",Emma Dennis-Edwards
61,7.3,,Revathy,"15,457",368900,Bollywood / Indian,Hindi,"10 Dec, 2022",Feb 10 2023,137,"Sujata, an ideal mother, who battled the most challenging situations one can ever face with a smile.",Salaam Venky,"73,463","Sameer Arora, Kausar Munir"
62,,,Anil Bhoop Sharma,"1,373",371670,Bollywood / Indian,Hindi,"10 Feb, 2023",Sep 08 2022,75,,Subhagi,"10,318","Munshi Premchand, Anil Bhoop Sharma"
63,,,,309,371669,Wrestling,English,"10 Feb, 2023",Feb 09 2023,,,TNA.Impact 2023-02-09,"1,337",
64,5.4,,Brad Anderson,"1,727",371575,Hollywood / English,English,"08 Feb, 2023",Jan 12 2023,108,"Jess,
 a separated mother and nurse, moves with her daughter and young son 
Owen back into her old farmhouse. Shortly after settling in, Owen is 
bitten by the dog, resulting in a mysterious infection from the bite.",Blood,"13,741",Will Honley
65,4.7,,Nicolas Harvard,734,371574,Hollywood / English,English,"08 Feb, 2023",Feb 03 2023,92,"A
 thief fresh out of prison, tries to work his way back into the life of 
his daughter and ex-fiancé. Determined, he is forced to use the skills 
he has as a gifted locksmith. Things take a tumultuous turn after an 
unexpected disappearance.",The Locksmith,"5,930","John Glosser, Ben Kabialis, Blair Kroeber"
66,5.5,,Nigel Thomas,"1,047",371573,Hollywood / English,English,"08 Feb, 2023",Feb 03 2023,,"Framed
 for murder by her cheating husband, a newlywed must find a way to 
absolve herself of a crime she didn't commit while exposing her spouse 
before it's too late.",My Husband the Narcissist (Secrets In The Marriage),"9,575",Victoria Barabas
67,6.9,PG-13,Kasi Lemmons,308,369610,Hollywood / English,English,"26 Dec, 2022",Dec 23 2022,144,"A
 joyous, emotional, heartbreaking celebration of the life and music of 
Whitney Houston, one of the greatest female R&B pop vocalists of all
 time, tracking her journey from obscurity to musical superstardom.",Whitney Houston: I Wanna Dance with Somebody,"5,303",Anthony McCarten
68,6.7,R,Sam Mendes,359,369000,Hollywood / English,English,"12 Dec, 2022",Dec 09 2022,115,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s.",Empire of Light,"6,335",Sam Mendes
69,5.5,,Daniel Graham,"3,495",362576,Hollywood / English,"English,Hindi","23 Jul, 2022",Jul 22 2022,107,"At
 the turn of the 19th century, Pugilism was the sport of kings and a 
gifted young boxer fought his way to becoming champion of England.",Prizefighter: The Life of Jem Belcher,"21,185",Matt Hookings
70,6.7,,H. Vinoth,"37,593",370410,Tollywood,Hindi,"14 Jan, 2023",Jan 11 2023,146,"A
 mysterious mastermind and his team forms a plan and commits bank heists
 across Chennai, but their motive of the heists remains mysterious.",Thunivu,"108,144",H. Vinoth
71,5.7,,Shiva Karthik,"19,372",371572,Tollywood,Hindi,"08 Feb, 2023",Oct 14 2021,140,"Sathya,
 a philanthropist who now runs an orphanage, has to go to Poland for the
 treatment of young Janu. While there, an international criminal named 
Ghost carries out heists. Who is Ghost? And what has Sathya got to do 
with it all?",Kotigobba 3,"55,996","Shiva Karthik, Sudeep"
72,6.7,PG-13,Gina Prince-Bythewood,"10,522",365008,Hollywood / English,"English,Hindi","19 Sep, 2022",Sep 16 2022,135,"A
 historical epic that is based in alternate history of The Kingdom of 
Dahomey, one of the most powerful states of Africa in the 18th and 19th 
centuries.",The Woman King,"49,260","Dana Stevens, Maria Bello"
73,6.7,,Clarence Fuller,478,371522,Hollywood / English,English,"07 Feb, 2023",Feb 03 2023,98,"A
 young man struggling for a good life meets a deaf girl from a well-off 
nearby family, he suddenly sees hope for love, and a better life but 
only if he can escape the predicament of the streets and the influence 
of his older sister.",Signs of Love,"4,681",Clarence Fuller
74,6.1,TV-G,Christie Will,347,371520,Hollywood / English,English,"07 Feb, 2023",Jan 28 2023,84,"An
 avalanche forecasting expert brings her new technology to Glacier 
National Park where she faces push-back from the Director of Mountain 
Rescue who's trained in intuition and common sense.",Love in Glacier National: A National Park Romance,"3,475",Keith Hemstreet
75,4.8,,"Kamalakannan, Kamalakannan","3,026",371519,Tollywood,Hindi,"07 Feb, 2023",Jul 29 2022,117,"A
 thief meets a beautiful girl, who is searching for the man she loves, 
en route to a city to sell a necklace he stole; the thief offers to help
 her but ends up falling in love with her.",Vattam,"14,491","Kamalakannan, Srinivas Kavinayam, Prabhakar Shanmugam"
76,5.4,,Jai Raaja Singh,"6,899",371518,Tollywood,Hindi,"07 Feb, 2023",Sep 13 2019,143,"Marshal
 is a medical crime thriller movie directed by Jai Raaja Singh and 
produced by Abhay Adaka. The movie cast includes Srikanth, Abhay, Megha 
Chowdhury and Rashmi are in the lead roles. Yaadagiri Varikuppala scored
 music.",Marshal,"28,171",Praveen Kumar Botla
77,,,,"3,108",371517,Wrestling,English,"07 Feb, 2023",Feb 06 2023,,,WWE Raw 2023-02-06,"8,205",
78,6.4,R,M. Night Shyamalan,"1,775",371496,Hollywood / English,English,"06 Feb, 2023",Feb 03 2023,100,"While
 vacationing, a girl and her parents are taken hostage by armed 
strangers who demand that the family make a choice to avert the 
apocalypse.",Knock at the Cabin,"14,219","M. Night Shyamalan, Steve Desmond, Michael Sherman"
79,5.9,PG-13,Kyle Marvin,167,371493,Hollywood / English,English,"06 Feb, 2023",Feb 03 2023,98,A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.,80 for Brady,"2,492","Emily Halpern, Sarah Haskins"
80,6.1,R,Neil Jordan,283,371876,Hollywood / English,English,"15 Feb, 2023",Feb 15 2023,110,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",Marlowe,"3,046","William Monahan, John Banville, Raymond Chandler"
81,4.7,,Sean Lahiff,"1,453",371943,Hollywood / English,English,"16 Feb, 2023",Dec 01 2022,93,"An
 aspiring documentarian and two conservationists who venture into the 
Outback to record the animals displaced by bushfires where they discover
 a terrifying new species.",Carnifex,"11,628",Shanti Gudgeon
82,8.1,,Venky Atluri,"1,552",372090,Tollywood,Hindi,"20 Feb, 2023",Feb 17 2023,139,The life of a young man and his struggles against the privatization of education.,Vaathi,"4,889",Venky Atluri
83,9,,Rohit Dhawan,"12,954",372039,Bollywood / Indian,Hindi,"18 Feb, 2023",Feb 17 2023,142,"Bantu
 is hated by his father Valmiki since he was a toddler. Samara, his boss
 show him affection and love until he discovers that the Jindals are his
 parents. Bantu decides to seek Jindals love and protect them from 
threats they facing.",Shehzada,"35,834","Hussain Dalal, Rohit Dhawan, Trivikram Srinivas"
84,6.6,TV-14,Simone Stock,760,371877,Hollywood / English,English,"15 Feb, 2023",Feb 11 2023,88,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,"7,432",Haley Harris
85,8.8,,Xavier Manrique,75,371744,Hollywood / English,English,"13 Feb, 2023",Feb 03 2023,101,"Follows
 a New York City family hiding out in the Hamptons whose bubble is 
popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring
 a lifetime of hurt that might heal them all.",Who Invited Charlie?,"1,678",Nicholas Schutt
86,5.7,PG-13,Aline Brosh McKenna,"2,712",371760,Hollywood / English,"English,Hindi","13 Feb, 2023",Feb 10 2023,109,"Two
 long-distance best friends change each other's lives when she decides 
to pursue a lifelong dream and he volunteers to keep an eye on her 
teenage son.",Your Place or Mine,"14,640",Aline Brosh McKenna
87,5,,Bess Wohl,622,371674,Hollywood / English,English,"10 Feb, 2023",Feb 03 2023,93,"The
 tightly scripted world of a vlogger and influencer unravels after she 
becomes a mother, in noted playwright Bess Wohl's feature debut.",Baby Ruby,"9,099",Bess Wohl
88,4.3,PG-13,Kevin Sorbo,469,371491,Hollywood / English,English,"06 Feb, 2023",Jan 22 2023,120,"The
 only light after the world falls into chaos is a charming new leader 
who rises to the head of the UN, but does he bring hope for a better 
future? Or is it the end of the world?",Left Behind: Rise of the Antichrist,"7,084","Paul Lalonde, Jessica Parker, John Patus"
89,7,TV-G,,330,371488,Hollywood / English,English,"06 Feb, 2023",Feb 04 2023,84,"A
 TV reporter goes to investigate a local bakery which is rumored to have
 the secret recipe to finding true love on Valentine's Day.",Sweeter Than Chocolate,"4,198",
90,4.3,R,Sophia Banks-Coloma,"9,006",359472,Hollywood / English,"English,Hindi","12 May, 2022",May 03 2022,93,"A group of officers based in a labyrinthine top-secret must fight for their lives against Hatchet, a brilliant and infamous high-value detainee. When he escapes, his mysterious and deadly agenda has far-reaching and dire consequences.",Black Site,"39,886","Jinder Ho, John Collee"
91,6.8,TV-PG,,934,371485,Wrestling,English,"06 Feb, 2023",Feb 04 2023,,"Women's
 title: Gigi Dolan vs Perez vs Jacy Jayne. North American title: Lee vs 
Dijak. Women's Tag titles: Katana Chance, Kayden Carter vs Hanley, 
James. 2 out of 3 falls: Carmelo vs Crews. Steel Cage, NXT World title: 
Breakker vs Waller.",NXT Vengeance Day,"4,339",
92,5.4,,Vishal Bhardwaj,"4,641",371483,Bollywood / Indian,Hindi,"06 Feb, 2023",Feb 03 2023,,"A
 young man unearths an ancient relic that lets him peek into the future.
 In his obsession to control what lies ahead, he risks losing all that 
matters most in the present.",Fursat,"23,580","Vishal Bhardwaj, Jyotsna Hariharan"
93,9.6,,Manjinder Mani,"2,695",371481,Punjabi,Punjabi,"06 Feb, 2023",Dec 16 2022,128,"Nek
 and Roop, an ordinary couple, who have different needs and mindset are 
leading happy lives. Things change when Roop meets Dilraj, her old 
college friend. She is attracted to his personality and financial 
status. What will happen next?",Je Tere Naal Pyar Na Hunda,"15,102",Manjinder Mani
94,3.1,,Hansal Mehta,"5,071",371477,Bollywood / Indian,"Hindi,English","06 Feb, 2023",Feb 03 2023,110,"Based
 on the real-life terrorist attack that ravaged a Dhaka cafe, Faraaz is a
 tense hostage drama that unfolds over one claustrophobic night.",Faraaz,"23,697","Raghav Kakkar, Kashyap Kapoor, Ritesh Shah"
95,6.9,TV-PG,Sarah Spillane,"5,503",371415,Hollywood / English,"English,Hindi","04 Feb, 2023",Feb 03 2023,109,"The story of Australian teenager, Jessica Watson, the youngest person ever to sail solo, non-stop around the world.",True Spirit,"27,418","Sarah Spillane, Rebecca Banner, Cathy Randall"
96,5.7,TV-MA,Patxi Amezcua,"3,795",371414,Hollywood / English,"English,Hindi","04 Feb, 2023",Feb 03 2023,96,"Two
 detectives are called to a small mining town in the Asturian mountains 
where a young woman who had been left for dead for months has suddenly 
appeared, leaving the detectives to question what dark forces are at 
work.",Infiesto,"17,706",Patxi Amezcua
97,5.6,,Stig Svendsen,"3,284",371413,Hollywood / English,English,"04 Feb, 2023",Nov 18 2022,97,"Thale
 (17) has just moved with her parents to a small town after her mother 
has a new job in the local police. After a student is killed brutally at
 a party Thale attends, she becomes a key witness. Was the killer an 
animal? A wolf?",Vikingulven (Viking Wolf),"24,352","Espen Aukan, Stig Svendsen"
